page	lang	kind	source	gate	line	excerpt
ConceptMap-mii-cm-onko-allgemeiner-leistungszustand-sct-intro	default	summary	Allgemeiner-Leistungszustand.page.md	B	5	**Written during migration - review before release.** This ConceptMap maps the oBDS answer list for the general performa
ConceptMap-mii-cm-onko-allgemeiner-leistungszustand-sct-intro	de	summary	Allgemeiner-Leistungszustand.page.md	B	5	**Written during migration - review before release.** Diese ConceptMap bildet die oBDS-Antwortliste zum allgemeinen Leis
ConceptMap-mii-cm-onko-fernmetastasen-sct-intro	default	summary	Lokalisation-Fernmetastasen.page.md	B	5	**Written during migration - review before release.** This ConceptMap maps the oBDS answer list for the localisation of 
ConceptMap-mii-cm-onko-fernmetastasen-sct-intro	de	summary	Lokalisation-Fernmetastasen.page.md	B	5	**Written during migration - review before release.** Diese ConceptMap bildet die oBDS-Antwortliste zur Lokalisation von
ConceptMap-mii-cm-onko-studienteilnahme-sct-intro	default	summary	Studienteilnahme.page.md	B	5	**Written during migration - review before release.** This ConceptMap maps the oBDS answer list for study participation 
ConceptMap-mii-cm-onko-studienteilnahme-sct-intro	de	summary	Studienteilnahme.page.md	B	5	**Written during migration - review before release.** Diese ConceptMap bildet die oBDS-Antwortliste zur Studienteilnahme
StructureDefinition-mii-pr-onko-anzahl-befallene-lymphknoten-intro	default	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** This profile covers the data point *Befallene Lymphknoten* (involv
StructureDefinition-mii-pr-onko-anzahl-befallene-lymphknoten-intro	de	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** Dieses Profil bildet den Datenpunkt *Befallene Lymphknoten* ab. Di
StructureDefinition-mii-pr-onko-anzahl-befallene-sentinel-lymphknoten-intro	default	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** This profile covers the data point *Befallene Sentinel-Lymphknoten
StructureDefinition-mii-pr-onko-anzahl-befallene-sentinel-lymphknoten-intro	de	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** Dieses Profil bildet den Datenpunkt *Befallene Sentinel-Lymphknote
StructureDefinition-mii-pr-onko-anzahl-untersuchte-lymphknoten-intro	default	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** This profile covers the data point *Untersuchte Lymphknoten* (exam
StructureDefinition-mii-pr-onko-anzahl-untersuchte-lymphknoten-intro	de	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** Dieses Profil bildet den Datenpunkt *Untersuchte Lymphknoten* ab. 
StructureDefinition-mii-pr-onko-anzahl-untersuchte-sentinel-lymphknoten-intro	default	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** This profile covers the data point *Untersuchte Sentinel-Lymphknot
StructureDefinition-mii-pr-onko-anzahl-untersuchte-sentinel-lymphknoten-intro	de	bridge	Lymphknotenuntersuchung-Observation.page.md	B	19	**Written during migration - review before release.** Dieses Profil bildet den Datenpunkt *Untersuchte Sentinel-Lymphkno
StructureDefinition-mii-pr-onko-genetische-variante-intro	default	bridge	Genetische-Variante-Observation.page.md	B	179	**Written during migration - review before release.** The instance `mii-exa-onko-genetische-variante-braf` in this guide
StructureDefinition-mii-pr-onko-genetische-variante-intro	de	bridge	Genetische-Variante-Observation.page.md	B	171	**Written during migration - review before release.** Die Instanz `mii-exa-onko-genetische-variante-braf` in diesem Leit
StructureDefinition-mii-pr-onko-nebenwirkung-adverse-event-intro	default	bridge	Nebenwirkung-AdverseEvent.page.md	B	10	**Written during migration - review before release.** The last paragraph breaks off mid-sentence in the source page ("..
StructureDefinition-mii-pr-onko-nebenwirkung-adverse-event-intro	default	summary	Nebenwirkung-AdverseEvent.page.md	B	14	**Written during migration - review before release.** The source page listed every search parameter individually with an
StructureDefinition-mii-pr-onko-nebenwirkung-adverse-event-intro	de	bridge	Nebenwirkung-AdverseEvent.page.md	B	10	**Written during migration - review before release.** Der letzte Absatz bricht in der Quellseite mitten im Satz ab ("...
StructureDefinition-mii-pr-onko-nebenwirkung-adverse-event-intro	de	summary	Nebenwirkung-AdverseEvent.page.md	B	14	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-operation-intro	default	summary	Operation-Procedure.page.md	B	107	**Written during migration - review before release.** The source page listed every search parameter individually with an
StructureDefinition-mii-pr-onko-operation-intro	de	summary	Operation-Procedure.page.md	B	107	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin-intro	default	bridge	NuklearmedizinischeTherapie-Procedure.page.md	B	3	**Written during migration - review before release.** The last sentence of the paragraph breaks off incomplete in the so
StructureDefinition-mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin-intro	default	summary	NuklearmedizinischeTherapie-Procedure.page.md	B	20	**Written during migration - review before release.** The source page listed every search parameter individually with an
StructureDefinition-mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin-intro	de	bridge	NuklearmedizinischeTherapie-Procedure.page.md	B	3	**Written during migration - review before release.** Der letzte Satz des Absatzes bricht in der Quellseite unvollständi
StructureDefinition-mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin-intro	de	summary	NuklearmedizinischeTherapie-Procedure.page.md	B	20	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie-intro	default	summary	Bestrahlungstherapie-Procedure.page.md	B	17	**Written during migration - review before release.** The source page listed every search parameter individually with an
